Item,Quantity,Link
Arduino UNO R3,1,Here
Green led,1,Here
Red led,1,Here
Breadboard,1,Here
DHT11,1,Here
Buzzer,1,Here
Cables,Much,Here
LCD 16x2,1,Here
RTC module,1,Here
