Item,Quantity,Link
Arduino UNO R3,1,https://www.aliexpress.com/item/1005009161334072.html?spm=a2g0o.productlist.main.4.4c883836UBTiWS&algo_pvid=e408176b-0c74-4022-9af2-3f9323775db5&algo_exp_id=e408176b-0c74-4022-9af2-3f9323775db5-3&pdp_ext_f=%7B%22order%22%3A%2278%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%2184.46%2184.46%21%21%2128.07%2128.07%21%40211b615317651170757152621e47c8%2112000048146032353%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29912%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=n2sKRZSiC7X8&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009161334072%7C_p_origin_prod%3A
Green led,1,"https://www.aliexpress.com/item/1005004453741169.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.1da2qV2NqV2NpT&gps-id=pcDetailTopMoreOtherSeller&scm=1007.14452.396806.0&scm_id=1007.14452.396806.0&scm-url=1007.14452.396806.0&pvid=fd3ca333-1fd1-4814-889b-fb40787b7b43&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.14452.396806.0,pvid:fd3ca333-1fd1-4814-889b-fb40787b7b43,tpp_buckets:668%232846%238111%231996&pdp_ext_f=%7B%22order%22%3A%22939%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21CZK%2162.73%2162.73%21%21%212.95%212.95%21%40210390c217651173960667596ef2cc%2112000030040628600%21rec%21CZ%213289986290%21X%211%210%21n_tag%3A-29912%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005004453741169%7C_p_origin_prod%3A&search_p4p_id=20251207062316098474600148843081377_0"
Red led,1,"https://www.aliexpress.com/item/1005004453741169.html?spm=a2g0o.detail.pcDetailTopMoreOtherSeller.1.1da2qV2NqV2NpT&gps-id=pcDetailTopMoreOtherSeller&scm=1007.14452.396806.0&scm_id=1007.14452.396806.0&scm-url=1007.14452.396806.0&pvid=fd3ca333-1fd1-4814-889b-fb40787b7b43&_t=gps-id:pcDetailTopMoreOtherSeller,scm-url:1007.14452.396806.0,pvid:fd3ca333-1fd1-4814-889b-fb40787b7b43,tpp_buckets:668%232846%238111%231996&pdp_ext_f=%7B%22order%22%3A%22939%22%2C%22eval%22%3A%221%22%2C%22sceneId%22%3A%2230050%22%2C%22fromPage%22%3A%22recommend%22%7D&pdp_npi=6%40dis%21CZK%2162.73%2162.73%21%21%212.95%212.95%21%40210390c217651173960667596ef2cc%2112000030040628600%21rec%21CZ%213289986290%21X%211%210%21n_tag%3A-29912%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&utparam-url=scene%3ApcDetailTopMoreOtherSeller%7Cquery_from%3A%7Cx_object_id%3A1005004453741169%7C_p_origin_prod%3A&search_p4p_id=20251207062316098474600148843081377_0"
Breadboard,1,https://www.aliexpress.com/item/1005009799908389.html
DHT11,1,https://www.aliexpress.com/item/32997407491.html?spm=a2g0o.productlist.main.11.5bd91b79M5AgrC&algo_pvid=5581a496-0f89-430a-84f8-6c9fa3574afb&algo_exp_id=5581a496-0f89-430a-84f8-6c9fa3574afb-10&pdp_ext_f=%7B%22order%22%3A%2235%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%2118.72%2116.10%21%21%216.22%215.35%21%40211b61ae17651171898241130eca2a%2112000052300499157%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29912%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=FQjsx9HCVnmy&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32997407491%7C_p_origin_prod%3A
Buzzer,1,https://www.aliexpress.com/item/1005010321957502.html?spm=a2g0o.productlist.main.4.2f46342baB9zz6&algo_pvid=591ac382-f15c-470c-8ac7-47bef7e61578&algo_exp_id=591ac382-f15c-470c-8ac7-47bef7e61578-3&pdp_ext_f=%7B%22order%22%3A%228%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%21125.80%2152.59%21%21%2141.81%2117.48%21%40211b628117651172227094483ed350%2112000052095051760%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29912%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895%3BpisId%3A5000000195632853&curPageLogUid=pNY8QTDdxUFY&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010321957502%7C_p_origin_prod%3A
Cables,Much,https://www.aliexpress.com/item/1005002611994443.html?spm=a2g0o.productlist.main.28.7dc96f23Txzygz&algo_pvid=f0be8999-2c3a-4069-80dc-26b5da2359cc&algo_exp_id=f0be8999-2c3a-4069-80dc-26b5da2359cc-27&pdp_ext_f=%7B%22order%22%3A%2213%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%2147.63%2147.63%21%21%212.24%212.24%21%4021038e6617651173371191604ebe80%2112000021387001543%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29912%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=fx2zB0EGcu5H&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005002611994443%7C_p_origin_prod%3A
LCD 16x2,1,https://www.aliexpress.com/item/1005010345517169.html?spm=a2g0o.productlist.main.1.150e2976fDPYZz&algo_pvid=3d31e438-3fc9-48f0-85c5-e05c9a577cc7&algo_exp_id=3d31e438-3fc9-48f0-85c5-e05c9a577cc7-0&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%21203.13%2173.32%21%21%2167.51%2124.37%21%4021038e6617651172742167191ebe80%2112000052058409826%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29912%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895%3BpisId%3A5000000195632853&curPageLogUid=SbTSyaXiciNx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010345517169%7C_p_origin_prod%3A
RTC module,1,https://www.aliexpress.com/item/32948191960.html?spm=a2g0o.productlist.main.8.6a89416fQiKh90&algo_pvid=fc86f3ff-bb5b-4d1e-ae0f-7957e63d6e77&algo_exp_id=fc86f3ff-bb5b-4d1e-ae0f-7957e63d6e77-7&pdp_ext_f=%7B%22order%22%3A%2225%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21CZK%2119.14%2117.65%21%21%210.90%210.83%21%4021038e6617651173056198386ebe80%2112000052353979289%21sea%21CZ%213289986290%21X%211%210%21n_tag%3A-29912%3Bd%3A7b8fc234%3Bm03_new_user%3A-29895&curPageLogUid=74KaBoIFDABx&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A32948191960%7C_p_origin_prod%3A
